id,weibo_content,weibo_place,publish_time,publish_tool,up_num,retweet_num,comment_num
0,"转发理由:高玉倩老师千古！[祈祷][祈祷][祈祷][泪][泪][泪]
原始用户: 贾怀胤
转发内容: 著名京剧表演艺术家，梅兰芳弟子，《红灯记》李奶奶的扮演者高玉倩老师于12月23日凌晨2：47仙逝。享年92岁。[蠟燭][蠟燭][蠟燭]",无,2018-12-23 11:46,iPhone 7 Plus,4008,209,316
1,百花齐放，独树一帜！[good][握手][耶]@书与画收藏,无,2018-12-24 08:31,iPhone 7 Plus,834,50,54
2,"转发理由:[good][握手][耶]
原始用户: 微博艺术
转发内容: #遇见艺术##V影响力峰会#2018微博艺术V影响力盛典开始啦！恭喜@六小龄童 先生获得微博文化艺术传播大使称号，感谢他为文化艺术传播做出的贡献！由微博用户运营总经理陈福云为其颁奖。",无,2018-12-23 20:30,iPhone 7 Plus,1528,72,120
3,上午在大杭州冒着霏霏细雨拜谒“盖叫天故居”[祈祷]幸会我国京剧艺术大师盖叫天先生之孙、京剧表演艺术家张善麟先生（“南派猴王”张翼鹏先生之子）[good][握手][作揖],无,2018-12-22 13:01,iPhone 7 Plus,3146,98,233
4,今天下午央视版 @西游记摄像师王崇秋 老师的新书《1982版西游记拍摄档案》在济南的新华·爱书客举行新书首发式，我在杭州录制节目，遥祝首发式圆满成功，祝王崇秋老师健康吉祥！[good][握手][耶],无,2018-12-22 10:00,iPhone 7 Plus,2620,170,173
5,"转发理由:[good][握手][耶]
原始用户: 六小龄童工作室
转发内容: 今晚 @六小龄童 应邀作为特别嘉宾参加了在杭州举行的由浙江省委宣传部等主办的“2018中国梦（浙江）网络视频大赛颁奖典礼”。",无,2018-12-21 21:39,iPhone 7 Plus,2776,120,259
6,喜闻“二师弟八戒”新年即将出版首部自传《悟能》，好不欢喜(两手翻花)。戏里师兄弟，戏外似兄弟！我荣幸为此书作序《猴兄猪弟》，衷心希望网友们多多关注与支持，文体百花齐放 ！[作揖][握手][耶] @马德华,无,2018-12-20 09:03,iPhone 7 Plus,9057,887,498
7,"转发理由:感谢观众朋友多年来的支持与关注，感谢 @刘国梁 、 @孙杨 、施一公、 @吳京 、李书福、张瑞敏等嘉宾发来感谢视频。[作揖][握手][耶]
原始用户: 六小龄童工作室
转发内容: 昨晚纪念改革开放40周年，以“谁为中国赢得尊敬”为主题的“中国品牌40年40人评选”颁奖晚会圆满落下帷幕， @六小龄童 与马云、张艺谋、林毅夫、郎平、刘晓庆、杨澜、许海峰等40位嘉宾获奖（排名不分先后），第十二届全国人大常委会副委员长陈昌智、联合国前副秘书长沙祖康等出席活动。 @品牌联盟 @王永",无,2018-12-19 08:49,iPhone 7 Plus,3957,224,328
8,"转发理由:[good]
原始用户: 人民日报
转发内容: #改革开放40周年#【习近平这9句话，真提气！】转发，收藏，学习！",无,2018-12-18 14:27,iPhone 7 Plus,3113,251,0
9,"转发理由:[good][握手][耶]
原始用户: 六小龄童工作室
转发内容: #2018年丝路凝聚力盛典# 今晚 @六小龄童 在上海参加“2018丝路凝聚力盛典”，获颁终身成就荣誉奖。@丝路凝聚力盛典",无,2018-12-16 22:49,iPhone 7 Plus,4703,346,479
10,"转发理由:[good][握手][耶]
原始用户: 北京日报客户端
转发内容: 【那些旧时光，都在这个VR版“时光机”里，坐稳，穿越了！】最近都在聊5G，你是否还记得第一次用3G上网冲浪的惊喜？是否记得当年刘翔一句“中国有我，亚洲有我”带来的感动？还有曾经的蛤蟆镜、小虎队、四大天王，当然还有那暑假必不可少的热播大剧86版西游记@六小龄童 ……戳下方链接，跟着我们一起穿 全",无,2018-12-16 17:44,iPhone 7 Plus,1795,99,196
11,"转发理由:确认一周的十大谣言我一人占了二个[good][握手][耶]
原始用户: 江苏网警
转发内容: #微博辟谣# 本周网络谣言Top10来啦！网民“动物无常”故意将艾滋病传染给大学女生？[怒]宜昌老太路口碰瓷，专业演技惊呆网友？[衰]鹿晗、赵丽颖等17名艺人因漏税被约谈，有男明星当场痛哭？[汗]这些谣言你转发了吗？赶紧来自查一下[doge]数据分析by@社会网络与数据挖掘",无,2018-12-15 16:28,iPhone 7 Plus,5518,992,283
12,"转发理由:#六小龄童体# 大家好像最近都喜欢在发微博时模仿我的口吻，天气冷了，请大家注意保暖。惊闻一个小伙子为《西游记》中的多个角色配音，深感很有意思，说不定会得到我的新片制作方的关注，也希望有更多的配音爱好者都来尝试。[互粉][二哈]
原始用户: 人民日报
转发内容: 【一个人给整部西游记配音！小伙靠配音走红，多角色转换无压力[跪了]】安徽滁州28岁小伙郑飞在网上发布了多段《西游记》创意配音视频，一人扮演孙悟空、龙王、玉皇大帝等角色，惟妙惟肖。网友称，一人可以配完整部《西游记》。郑飞说，自己在婚庆公司工作，配音只是业余爱好。一手video的秒拍视频",无,2018-12-14 19:22,iPhone 7 Plus,13456,2493,200
13,@光明网（今天）：六小龄童现身古都济南．传递奥运精神传播西游文化[good][握手][耶],无,2018-12-14 17:47,iPhone 7 Plus,3552,323,45
14,"转发理由:#国家公祭日#铭记历史，珍爱和平！
原始用户: 人民日报
转发内容: 【今天，请一起转发微博，共同祭奠死难同胞】1937年的今天，侵华日军攻陷南京。短短6周内，30多万中国军民惨遭杀戮，山河破碎，生灵涂炭……昭昭前事，惕惕后人！今天，南京大屠杀死难者国家#公祭日#，我们以国家的名义祭奠，不是为了延续仇恨，而是为了和平与正义长存。转发，愿逝者安息，和平永存！",无,2018-12-13 09:38,iPhone 7 Plus,2926,172,11
15,新浪V影响力峰会：北京国家会议中心[耶][作揖][祈祷]@V影响力峰会,无,2018-12-12 16:38,iPhone 7 Plus,4447,439,21
16,今天来自浙江老家的 @杭州网  [作揖]多为我们孩子们的想象力点赞[嘻嘻][握手][耶]  @都市快报 昨天著名演员六小龄童也为她点赞,无,2018-12-07 14:26,iPhone 7 Plus,2650,408,16
17,@人民日报  [good][握手][作揖] 六小龄童回应“西霸”传闻：猴戏不姓章 希望百花齐放,无,2018-12-06 23:34,iPhone 7 Plus,5696,1075,31
18,昨天下午在《北京日报》社接受其客户端的独家视频釆访[good][握手][耶]@北京日报客户端,无,2018-12-06 15:09,iPhone 7 Plus,3942,465,13
19,[good][作揖][祈祷]国粹艺术永存！要重视南派武生艺术,无,2018-12-06 10:03,iPhone 7 Plus,3734,1656,9
20,今天是第33个 #国际志愿者日# ，有幸作为 @北京大学人民医院 的医务志愿者，我在从艺之余抽空到医院看望患者并提供一些帮助，通过为他人带来的快乐与帮助，内心也获得了莫大的慰籍，愿和大家在适当的时候、合适的条件下一起去尝试做志愿者，用爱心给人帮助，也用点滴努力温暖我们的世界。[good][握手] 全,无,2018-12-05 08:18,iPhone 7 Plus,5296,1013,19
21,@人民网 、 @新华网 、 @中国新闻网 、 @北青网 、 @凤凰网 、 @澎湃新闻 、扬眼、 @北京青年报 、 @扬子晚报 等媒体一并衷心感谢[作揖][握手][祈祷],无,2018-12-04 19:59,iPhone 7 Plus,3336,202,14
22,淮安是我的梦里老家，我曾写过一篇《我的梦里老家》的文章刊发于2012年1月8日《淮海晚报》。 我写淮安：我的梦里老家,无,2018-12-04 16:52,微博 weibo.com,3029,355,10
23,由@腾讯视频娱乐 、 @yoo视频 出品的《幸福+》第三期上线，感谢拍摄团队的辛勤工作。《幸福+》六小龄童：苦练猴戏一角一人生,无,2018-12-04 12:44,iPhone 7 Plus,1984,340,6
24,吴承恩故居纪念馆的声明：@淮安报哥  @淮安发布 @魅力淮安 @淮安那些事 @淮安身边事 http://t.cn/Ey27Kh3,无,2018-12-03 17:29,iPhone 7 Plus,6181,4033,13
25,@西游记摄像师王崇秋 老师的新书《1982版西游记拍摄档案》于今天正式上线出售，此书沿着央视版《西游记》整个拍摄脉络本身所写，首次披露了很多第一手资料，包括剧照、工作照、定妆照、剧组 往来信件、场记单、分镜头本、美工和服装设计图等等，希望此书赢得西游记迷们的支持与喜爱。《1982版西游记拍 全,无,2018-12-03 14:49,iPhone 7 Plus,2743,443,6
26,#国际残疾人日# 今天是“国际残疾人日”，作为北京联合大学特殊教育学院的爱心大使，希望有越来越多的社会人士关注、关心残障人士事业发展，有更多社会机构参与到残障人士服务项目中去，让残障人士更进一步融入社会。,无,2018-12-03 08:05,iPhone 7 Plus,2580,338,5
27,音情交融，神形兼备！[握手][good][耶]《西游记》里的配音演员们,无,2018-12-02 14:16,iPhone 7 Plus,2671,117,7
28,“永远的大哥”章金彦今天上午在他的出生、病逝地大上海安葬[作揖]衷心地感谢他为“章氏猴戏”及西游文化的弘扬作出的重大贡献……仪式结束回程时老天亦落泪[祈祷][祈祷][祈祷][泪][泪][泪],无,2018-12-02 12:49,iPhone 7 Plus,7161,523,13
29,《法制晚报》是一份受到广大北京地区读者喜爱的报纸，我是《法制晚报》的老朋友、热心读者，多次接受该报记者朋友的采访，其中记者寿鹏寰女士是采访次数最多的，2017年3月30日我应邀还在《法制晚报》社讲演。得知《法制晚报》将于2019年1月1日起休刊，感慨良多…… 感谢贵报多年来对我的支持与关注，衷 全,无,2018-12-02 08:28,iPhone 7 Plus,2707,178,2
30,[good][握手][耶]@刘国梁 刘国梁当选新一届中国乒协主席,无,2018-12-01 11:19,iPhone 7 Plus,3013,161,1
31,今天是第31个 #世界艾滋病日# ，今年我国的宣传主题是“主动检测，知艾防艾，共享健康”。作为北京市红十字会的预防艾滋病形象大使，希望全社会行动起来，提高对艾滋病流行及防治的认识，倡导通过检测知晓感染状况，采取治疗和预防措施控制艾滋病。[耶][握手][祈祷],无,2018-12-01 08:07,iPhone 7 Plus,3370,264,3
32,《绝艺芳华》（宁夏人民出版社．马青著）：京剧界一度硕果仅存的女武生、“女猴王”，我正在拜读并推荐的好书[good][握手][作揖],无,2018-11-29 09:26,iPhone 7 Plus,2803,275,4
33,央视版《西游记》中我饰演的孙悟空多年来受到观众们的支持与肯定，其中也得益于国宝级影视化装大师王希钟先生的塑型创作，他为这个人物的成功演绎立下了不可替代的汗马功劳。今天是王希钟先生90岁生日，衷心祝愿王老先生：生日快乐、健康长寿！[握手][作揖][祈祷],无,2018-11-27 08:14,iPhone 7 Plus,13774,461,11
34,今天上午与忘年交戈宝栋先生30年后相聚于其公子在北京恭王府举行的“墨彩生辉：戈晓湘画展”上，不胜感慨与荣幸[good][耶][作揖],无,2018-11-23 11:50,iPhone 7 Plus,3918,115,3
35,@环球网 [耶]我们有幸赶上了好时代、新时代，衷心地感谢观众朋友们多年的支持与关注[good][作揖][祈祷],无,2018-11-22 10:53,iPhone 7 Plus,6584,591,6
36,"转发理由:自取其辱
原始用户: 共青团中央
转发内容: 我们欢迎外国企业来华投资兴业，同时在华经营的外国企业也应当尊重中国，尊重中国人民。这也是任何企业到其他国家投资兴业、开展合作最起码的遵循。@DolceGabbana",无,2018-11-21 18:46,iPhone 7 Plus,5310,252,2
37,学照相：北京十里河文化街民俗铜组像[good][握手][耶],无,2018-11-20 14:23,iPhone 7 Plus,3757,139,4
